Jed,Serving Size (g),Calories,Calories From Fat,Total Fat (g),% Daily Value**,Saturated Fat (g)
BigMac,(211 g),530,240,27,42,10
Quarter Pounder® with Cheese+,(199 g),520,240,26,40,12
Bacon Clubhouse Burger,(267 g),720,360,40,61,15
Quarter Pounder Bacon Habanero Ranch+,(233 g),610,280,31,48,13
Quarter Pounder Bacon & Cheese +,(217 g),600,260,29,45,13
Quarter Pounder Deluxe +,(238 g),540,250,27,42,11
Double Quarter Pounder with Cheese ++,(277 g),740,380,42,65,19
Hamburger,(98 g),240,70,8,12,3
Cheeseburger,(113 g),290,100,11,18,5
BBQ Ranch Burger,(113 g),340,130,15,22,6
Grilled Onion Cheddar,(113 g),300,110,13,20,6
Double Cheeseburger,(161 g),430,190,21,32,10
McDouble,(147 g),380,150,17,26,8
Jalapeno Double,(159 g),430,210,23,36,9
Bacon McDouble,(161 g),440,200,22,34,10
Daily Double,(190 g),430,200,22,35,9
Bacon Clubhouse Crispy Chicken Sandwich,(284 g),750,340,38,59,10
Premium Crispy Chicken Classic Sandwich,(213 g),510,200,22,33,3.5
Premium Grilled Chicken Classic Sandwich,(200 g),350,80,9,13,2
Premium Grilled Chicken Club Sandwich,(235 g),510,180,20,31,7
Premium Grilled Chicken Ranch BLT Sandwich,(217 g),450,130,15,23,4.5
McChicken,(143 g),360,140,16,25,3
Buffalo Ranch McChicken,(148 g),360,150,16,25,3
Bacon Buffalo Ranch McChicken,(161 g),430,190,21,32,5
Bacon Cheddar McChicken,(171 g),480,220,24,38,7
Southern Style Crispy Chicken Sandwich,(160 g),430,170,19,29,3
Filet-O-Fish,(142 g),390,170,19,29,4
McRib,(208 g),500,240,26,40,10
Premium McWrap Southwest Chicken (Crispy),(331 g),670,290,32,50,8
Premium McWrap Chicken & Bacon (Crispy),(316 g),630,280,32,49,9
Premium McWrap Chicken & Ranch (Crispy),(310 g),610,280,31,47,8
Premium McWrap Chicken Sweet Chili (Crispy),(304 g),540,200,23,35,4.5
Chipotle BBQ Snack Wrap (Crispy),(130 g),340,130,15,23,4.5
Honey Mustard Snack Wrap (Crispy),(126 g),340,140,16,25,4.5
Ranch Snack Wrap® (Crispy),(128 g),360,180,20,30,5
Mac Snack Wrap † ,(125 g),330,170,19,29,7
Chicken McNuggets® (4 piece),(65 g),190,110,12,18,2
