Pos;Country;Area
1;Russia;17098242
2;Canada;9889000
3;United States;9826675
4;China;9615767
5;Australia;9596691
6;Brazil;8515767
7;India;3287590
8;Argentina;2766890
9;Kazakhstan;2727300
10;Algeria;2381740
11;Democratic Republic of the Congo;2345410
12;Saudi Arabia;2149690
13;Mexico;1972550
14;Indonesia;1904556
15;Sudan;1861484
16;Libya;1759540
17;Iran;1648000
18;Mongolia;1565000
19;Peru;1285220
20;Chad;1284000
21;Niger;1267000
22;Angola;1246700
23;Mali;1240000
24;South Africa;1219912
25;Colombia;1197411
26;Ethiopia;1127127
27;Bolivia;1098580
28;Mauritania;1030700
29;Egypt;1001450
30;Nigeria;923768
31;Venezuela;912050
32;Namibia;825418
33;Pakistan;803940
34;Mozambique;801590
35;Turkey;780580
36;Chile;756950
37;Zambia;752614
38;Myanmar (Burma);678500
39;France;675417
40;Afghanistan;647500
41;Somalia;637657
42;Ukraine;603628
43;Botswana;600370
44;Madagascar;587040
45;Yemen;527970
46;Thailand;514000
47;Spain;504781
48;Turkmenistan;488100
49;Cameroon;475440
50;Papua New Guinea;462840
51;Sweden;449964
52;Uzbekistan;447400
53;Morocco;446550
54;Iraq;437072
55;Paraguay;406750
56;Zimbabwe;390580
57;Japan;377835
58;Germany;357021
59;Finland;337030
60;Malaysia;329750
61;Vietnam;329560
62;Norway;324220
63;Ivory Coast;322460
64;Poland;312685
65;Oman;309500
66;Italy;301230
67;Philippines;300000
68;Ecuador;283560
69;Burkina Faso;274200
70;New Zealand;269190
71;Gabon;267667
72;Guinea;245857
73;United Kingdom;266480
74;Ghana;238540
75;Romania;237500
76;Laos;236800
77;Guyana;214970
78;Belarus;207600
79;Kyrgyzstan;198500
80;Senegal;196190
81;Syria;185180
82;Cambodia;181035
83;Uruguay;176220
84;Tunisia;163610
85;Suriname;163270
86;Nepal;147181
87;Bangladesh;147570
88;Tajikistan;143100
89;Greece;131940
90;Nicaragua;129494
91;Rwanda;126338
92;Eritrea;121320
93;North Korea;120540
94;Malawi;118480
95;Benin;112620
96;Honduras;112090
97;Liberia;111370
98;Bulgaria;110910
99;Guatemala;108890
100;Iceland;103000
101;Cuba;100860
102;South Korea;98480
103;Hungary;93030
104;Jordan;92300
105;Portugal;88267
106;Serbia;88361
107;Azerbaijan;86600
108;Austria;83858
109;United Arab Emirates;82880
110;Czech Republic;78867
111;Panama;78201
112;Sierra Leone;72740
113;Ireland;71273
114;Georgia;69701
115;Sri Lanka;65611
116;Lithuania;65201
117;Latvia;64589
118;Togo;56785
119;Croatia;56542
120;Bosnia and Herzegovina;51129
121;Costa Rica;51100
122;Slovakia;48845
123;Dominican Republic;48730
124;Bhutan;47000
125;Estonia;45226
126;Denmark;43094
127;Netherlands;41526
128;Switzerland;41210
129;Guinea-Bissau;36120
130;Republic of China (Taiwan Quemoy Matsu);35980
131;Moldova;33843
132;Belgium;32545
133;Lesotho;30355
134;Armenia;29800
135;Albania;28748
136;Solomon Islands;28450
137;Equatorial Guinea;28051
138;Haiti;27750
139;Israel (Including West Bank and Gaza);26990
140;Macedonia;25333
141;Belize;22966
142;Djibouti;22000
143;El Salvador;21040
144;Slovenia;20253
145;Nubia;20153
146;Fiji;18270
147;Kuwait;17820
148;Swaziland;17363
149;East Timor;14874
150;Bahamas;13940
151;Montenegro;13812
152;Vanuatu;12200
153;Qatar;11437
154;The Gambia;11300
155;Jamaica;10990
156;Lebanon;10452
157;Cyprus;9250
158;Brunei;5770
159;Trinidad and Tobago;5128
160;Cape Verde;4033
161;Samoa;2860
162;Luxembourg;2586
163;Comoros;2170
164;Mauritius;1860
165;Sao Tomé and Príncipe;1001
166;Dominica;754
167;Tonga;748
168;Kiribati;717
169;Micronesia;702
170;Singapore;6927
171;Bahrain;665
172;Saint Lucia;620
173;Seychelles;455
174;Andorra;468
175;Palau;458
176;Antigua and Barbuda;442
177;Barbados;430
178;Saint Vincent and the Grenadines;389
179;Grenada;340
180;Malta;316
181;Maldives;300
182;Saint Kitts and Nevis;261
183;Marshall Islands;181
184;Liechtenstein;160
185;San Marino;612
186;Tuvalu;26
187;Nauru;21
188;Monaco;195
189;Vatican City;44
